"Dato og tid Kjøring # 1";"Tid (s) Kjøring # 1";"UVA (350-375 nm) Kjøring # 1";"UVB (320-340 nm Kjøring # 1";"UV Indeks Kjøring # 1";"Illuminans (lux) Kjøring # 1";"Solar irradians (W/m²) Kjøring # 1";"Solar PAR (μmol/m²/s) Kjøring # 1"
01.12.2021 14.59.52;0,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.59.53;1,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.59.54;2,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.59.55;3,000;0;0;0,00;0,00;0,00;0,00
01.12.2021 14.59.56;4,000;91;37;0,29;10,70;0,11;0,20
01.12.2021 14.59.57;5,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 14.59.58;6,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 14.59.59;7,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.00;8,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.01;9,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.02;10,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.03;11,000;92;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.04;12,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.05;13,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.06;14,000;92;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.07;15,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.08;16,000;91;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.09;17,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.10;18,000;91;39;0,29;12,84;0,13;0,24
01.12.2021 15.00.11;19,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.12;20,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.13;21,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.14;22,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.15;23,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.16;24,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.17;25,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.18;26,000;91;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.19;27,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.20;28,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.21;29,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.22;30,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.23;31,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.24;32,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.25;33,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.26;34,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.27;35,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.28;36,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.29;37,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.30;38,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.31;39,000;90;38;0,29;12,84;0,13;0,24
01.12.2021 15.00.32;40,000;90;37;0,28;12,84;0,13;0,24
01.12.2021 15.00.33;41,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.34;42,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.35;43,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.36;44,000;90;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.37;45,000;90;38;0,29;10,70;0,11;0,20
01.12.2021 15.00.38;46,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.39;47,000;89;37;0,28;10,70;0,11;0,20
01.12.2021 15.00.40;48,000;0;0;0,00;188,32;1,96;3,48
01.12.2021 15.00.41;49,000;0;0;0,00;214,00;2,23;3,96
01.12.2021 15.00.42;50,000;0;0;0,00;211,86;2,20;3,92
01.12.2021 15.00.43;51,000;0;0;0,00;199,02;2,07;3,68
01.12.2021 15.00.44;52,000;0;0;0,00;196,88;2,05;3,64
01.12.2021 15.00.45;53,000;0;0;0,00;130,54;1,36;2,41
01.12.2021 15.00.46;54,000;0;0;0,00;203,30;2,11;3,76
01.12.2021 15.00.47;55,000;0;0;0,00;111,28;1,16;2,06
01.12.2021 15.00.48;56,000;0;0;0,00;126,26;1,31;2,34
01.12.2021 15.00.49;57,000;0;0;0,00;218,28;2,27;4,04
01.12.2021 15.00.50;58,000;0;0;0,00;14,98;0,16;0,28
01.12.2021 15.00.51;59,000;61;24;0,19;12,84;0,13;0,24
01.12.2021 15.00.52;60,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.53;61,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.54;62,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.55;63,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.56;64,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.57;65,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.58;66,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.00.59;67,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.00;68,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.01;69,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.02;70,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.03;71,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.04;72,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.05;73,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.06;74,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.07;75,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.08;76,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.09;77,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.10;78,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.11;79,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.12;80,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.13;81,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.14;82,000;62;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.15;83,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.16;84,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.17;85,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.18;86,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.19;87,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.20;88,000;61;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.21;89,000;61;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.22;90,000;61;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.23;91,000;61;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.24;92,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.25;93,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.26;94,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.27;95,000;61;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.28;96,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.29;97,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.30;98,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.31;99,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.32;100,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.33;101,000;61;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.34;102,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.35;103,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.36;104,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.37;105,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.38;106,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.39;107,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.40;108,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.41;109,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.42;110,000;61;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.43;111,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.44;112,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.45;113,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.46;114,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.47;115,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.48;116,000;61;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.49;117,000;61;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.50;118,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.51;119,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.52;120,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.01.53;121,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.01.54;122,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.55;123,000;61;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.56;124,000;60;25;0,19;12,84;0,13;0,24
01.12.2021 15.01.57;125,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.58;126,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.01.59;127,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.02.00;128,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.02.01;129,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.02.02;130,000;60;24;0,19;12,84;0,13;0,24
01.12.2021 15.02.03;131,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.02.04;132,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.05;133,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.06;134,000;61;25;0,19;10,70;0,11;0,20
01.12.2021 15.02.07;135,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.08;136,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.09;137,000;60;25;0,19;10,70;0,11;0,20
01.12.2021 15.02.10;138,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.11;139,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.12;140,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.13;141,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.14;142,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.15;143,000;60;24;0,19;10,70;0,11;0,20
01.12.2021 15.02.16;144,000;60;25;0,19;10,70;0,11;0,20
